Date,Short Volume,Total Volume
5/9/2017,53454,91669
5/10/2017,32388,53883
5/11/2017,28233,50924
5/12/2017,28421,59641
5/15/2017,31164,66376
5/16/2017,18975,38159
5/17/2017,56246,114351
5/18/2017,38228,85742
5/19/2017,29792,68138
5/22/2017,27733,53757
5/23/2017,44761,85575
5/24/2017,27240,46313
5/25/2017,55629,101748
5/26/2017,49885,91915
5/30/2017,32483,58229
5/31/2017,44180,81235
6/1/2017,29467,68800
6/2/2017,47699,107673
6/5/2017,40754,75994
6/6/2017,33469,69569
6/7/2017,30722,80729
6/8/2017,31702,72811
6/9/2017,102297,245884
6/12/2017,118981,216223
6/13/2017,52209,116312
6/14/2017,63607,100328
6/15/2017,71579,153616
6/16/2017,63356,113748
6/19/2017,52288,104593
6/20/2017,36318,77502
6/21/2017,37112,69611
6/22/2017,25620,56374
6/23/2017,40127,73905
6/26/2017,41634,84812
6/27/2017,74234,146492
6/28/2017,74514,130657
6/29/2017,88382,186546
6/30/2017,64172,113165
7/3/2017,41098,79648
7/5/2017,48567,104813
7/6/2017,58382,94974
7/7/2017,47100,97358
7/10/2017,45552,79906
7/11/2017,43994,85091
7/12/2017,55066,115170
7/13/2017,55550,116956
7/14/2017,38528,70713
7/17/2017,37443,72168
7/18/2017,35959,72950
7/19/2017,37764,70584
7/20/2017,43575,76561
7/21/2017,61309,100198
7/24/2017,90733,186736
7/25/2017,153093,308160
7/26/2017,55811,112330
7/27/2017,100135,189367
7/28/2017,52633,108692
7/31/2017,62866,129904
8/1/2017,33475,64389
8/2/2017,65126,119965
8/3/2017,33335,66547
8/4/2017,36617,64181
8/7/2017,41458,62455
8/8/2017,34818,64520
8/9/2017,32409,65694
8/10/2017,56312,124424
8/11/2017,42052,81125
8/14/2017,27096,55604
8/15/2017,26809,46099
8/16/2017,35579,65098
8/17/2017,53108,87845
8/18/2017,40004,73758
8/21/2017,24941,57901
8/22/2017,49195,91769
8/23/2017,34426,68381
8/24/2017,33159,63559
8/25/2017,30499,59208
8/28/2017,25123,48589
8/29/2017,34625,72232
8/30/2017,30070,60077
8/31/2017,46457,81894
9/1/2017,31624,59292
9/5/2017,44976,74270
9/6/2017,36960,63600
9/7/2017,30157,67796
9/8/2017,34367,59963
9/11/2017,35551,69891
9/12/2017,31046,59597
9/13/2017,23706,57661
9/14/2017,28510,59600
9/15/2017,42377,80215
9/18/2017,28799,59178
9/19/2017,30649,61110
9/20/2017,45152,102835
9/21/2017,31895,68428
9/22/2017,32187,65711
9/25/2017,40823,81744
9/26/2017,35055,77153
9/27/2017,51949,134509
9/28/2017,40213,74032
9/29/2017,50033,95803
10/2/2017,44076,78149
10/3/2017,34853,56894
10/4/2017,32463,52599
10/5/2017,40048,85810
10/6/2017,36077,74645
10/9/2017,20869,38967
10/10/2017,27118,51341
10/11/2017,39935,75238
10/12/2017,45454,71469
10/13/2017,41565,89607
10/16/2017,24889,54940
10/17/2017,23383,43582
10/18/2017,33435,67335
10/19/2017,32892,94121
10/20/2017,33297,92836
10/23/2017,29594,64356
10/24/2017,25479,55248
10/25/2017,26385,58752
10/26/2017,42292,85466
10/27/2017,109377,245703
10/30/2017,51034,86442
10/31/2017,38013,63608
11/1/2017,54577,98023
11/2/2017,28671,52229
11/3/2017,42148,80521
11/6/2017,24094,40458
11/7/2017,27304,42891
11/8/2017,27475,57123
11/9/2017,39866,81579
11/10/2017,25049,48466
11/13/2017,23897,42736
11/14/2017,18317,39928
11/15/2017,19370,37201
11/16/2017,27398,53286
11/17/2017,23084,54049
11/20/2017,17550,37056
11/21/2017,25725,43459
11/22/2017,17306,32865
11/24/2017,28724,44291
11/27/2017,39490,64245
11/28/2017,40671,66954
11/29/2017,52409,97912
11/30/2017,39177,93361
12/1/2017,37563,78999
12/4/2017,35713,76536
12/5/2017,38616,83030
12/6/2017,23102,56953
12/7/2017,25746,56311
12/8/2017,25906,65817
12/11/2017,19492,43194
12/12/2017,38545,81175
12/13/2017,24970,61591
12/14/2017,28214,63677
12/15/2017,68232,119379
12/18/2017,26594,66082
12/19/2017,32614,60955
12/20/2017,25939,56669
12/21/2017,26492,62215
12/22/2017,12736,36852
12/26/2017,13147,29543
12/27/2017,19435,44067
12/28/2017,22354,48650
12/29/2017,20854,45399
1/2/2018,39051,88513
1/3/2018,31422,75761
1/4/2018,27433,55696
1/5/2018,36692,83149
1/8/2018,20697,47705
